Name,Version
io.opentelemetry:opentelemetry-exporter-common,1.31.0
io.opentelemetry:opentelemetry-exporter-otlp,1.39.0
io.opentelemetry:opentelemetry-exporter-otlp-common,1.31.0
io.opentelemetry:opentelemetry-exporter-sender-okhttp,1.31.0
io.opentelemetry:opentelemetry-extension-incubator,1.31.0-alpha
io.opentelemetry:opentelemetry-extension-trace-propagators,1.31.0
io.opentelemetry:opentelemetry-sdk,1.31.0
io.opentelemetry:opentelemetry-sdk-common,1.31.0
io.opentelemetry:opentelemetry-sdk-extension-autoconfigure-spi,1.31.0
io.opentelemetry:opentelemetry-sdk-logs,1.31.0
io.opentelemetry:opentelemetry-sdk-metrics,1.31.0
io.opentelemetry:opentelemetry-sdk-trace,1.31.0
io.projectreactor.netty:reactor-netty-core,1.1.16
io.projectreactor.netty:reactor-netty-http,1.1.16
io.projectreactor:reactor-core,3.6.3
io.prometheus:simpleclient,0.16.0
io.prometheus:simpleclient_common,0.16.0
io.prometheus:simpleclient_tracer_common,0.16.0
io.prometheus:simpleclient_tracer_otel,0.16.0
io.prometheus:simpleclient_tracer_otel_agent,0.16.0
jakarta.annotation:jakarta.annotation-api,2.1.1
jar,
libbrotli1,1.0.9-2+b6
libc6,2.36-9+deb12u3
libcrypt1,1:4.4.33-2
libexpat1,2.5.0-1
libfontconfig1,2.14.1-4
libfreetype6,2.12.1+dfsg-5
libgcc-s1,12.2.0-14
libjpeg62-turbo,1:2.1.5-2
liblcms2-2,2.14-2
libpng16-16,1.6.39-2
libstdc++6,12.2.0-14
libuuid1,2.38.1-5+b1
net.logstash.logback:logstash-logback-encoder,7.4
netbase,6.4
org.apache.logging.log4j:log4j-api,2.21.1
org.apache.logging.log4j:log4j-to-slf4j,2.21.1
org.apache.tomcat.embed:tomcat-embed-core,10.1.19
org.apache.tomcat.embed:tomcat-embed-el,10.1.19
org.apache.tomcat.embed:tomcat-embed-websocket,10.1.19
org.aspectj:aspectjweaver,1.9.21
org.hdrhistogram:HdrHistogram,2.1.12
org.jctools:jctools-core,4.0.1
org.jctools:jctools-core,3.1.0
org.jetbrains.kotlin:kotlin-stdlib,1.9.22
org.jetbrains.kotlin:kotlin-stdlib-jdk7,1.9.22
org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.22
org.jetbrains:annotations,13.0
org.latencyutils:LatencyUtils,2.0.3
org.reactivestreams:reactive-streams,1.0.4
org.slf4j:jul-to-slf4j,2.0.12
org.slf4j:slf4j-api,2.0.12
org.springframework.boot:spring-boot,3.2.3
org.springframework.boot:spring-boot-actuator,3.2.3
org.springframework.boot:spring-boot-actuator-autoconfigure,3.2.3
org.springframework.boot:spring-boot-autoconfigure,3.2.3
org.springframework.boot:spring-boot-starter,3.2.3
org.springframework.boot:spring-boot-starter-actuator,3.2.3
org.springframework.boot:spring-boot-starter-aop,3.2.3
org.springframework.boot:spring-boot-starter-json,3.2.3
org.springframework.boot:spring-boot-starter-logging,3.2.3
org.springframework.boot:spring-boot-starter-reactor-netty,3.2.3
org.springframework.boot:spring-boot-starter-tomcat,3.2.3
org.springframework.boot:spring-boot-starter-web,3.2.3
org.springframework:spring-aop,6.1.4
org.springframework:spring-beans,6.1.4
org.springframework:spring-context,6.1.4
org.springframework:spring-core,6.1.4
org.springframework:spring-expression,6.1.4
org.springframework:spring-jcl,6.1.4
org.springframework:spring-web,6.1.4
org.springframework:spring-webflux,6.1.4
org.springframework:spring-webmvc,6.1.4
org.yaml:snakeyaml,2.2
tzdata,2023c-5+deb12u1
zlib1g,1:1.2.13.dfsg-1
